Commodities,Periods add,Instance,Gap,Time to solve,Iterations,Solved,Solved time,Reported \rho in paper
250,96,3,0.00970918,55,3,1,55,48
250,96,4,0.00875522,33,2,1,33,48
250,96,5,0.00954459,37,2,1,37,48
300,12,1,0.00391155,38,2,1,38,6
300,12,2,0.00878353,105,6,1,105,6
300,12,3,0,119,7,1,119,6
300,12,4,0.00985614,74,4,1,74,6
300,12,5,1.99E-16,67,4,1,67,6
300,24,1,0.00902977,35,2,1,35,12
300,24,2,0.00870579,37,2,1,37,12
300,24,3,2.60E-05,50,3,1,50,12
300,24,4,0.00289877,39,2,1,39,12
300,24,5,4.24E-16,39,2,1,39,12
300,36,1,0.00905399,39,2,1,39,18
300,36,2,0.00689907,57,3,1,57,18
300,36,3,0.00391665,39,2,1,39,18
300,36,4,0.0049137,73,4,1,73,18
300,36,5,0.00383248,72,4,1,72,18
300,48,1,0.00679856,124,5,1,124,24
300,48,2,0.0084216,139,5,1,139,24
300,48,3,0.00638503,124,5,1,124,24
300,48,4,0.00893177,85,4,1,85,24
300,48,5,0.0073538,98,4,1,98,24
300,60,1,0.00983638,64,3,1,64,30
300,60,2,0.00845858,57,3,1,57,30
300,60,3,0.00988065,113,4,1,113,30
300,60,4,0.00733847,86,4,1,86,30
300,60,5,0.00759482,96,5,1,96,30
300,72,1,0.00487583,38,2,1,38,36
300,72,2,0.00313872,46,2,1,46,36
300,72,3,0.00848779,65,3,1,65,36
300,72,4,0.00534121,47,2,1,47,36
300,72,5,0.00399414,35,2,1,35,36
300,84,1,0.00706495,76,3,1,76,42
300,84,2,0.00809264,126,5,1,126,42
300,84,3,0.00773552,38,2,1,38,42
300,84,4,0.00575959,83,3,1,83,42
300,84,5,0.00616696,107,4,1,107,42
300,96,1,0.0085264,62,3,1,62,48
300,96,2,0.00427337,69,3,1,69,48
300,96,3,0.00516824,81,4,1,81,48
300,96,4,0.00567375,109,4,1,109,48
300,96,5,0.00871502,84,3,1,84,48
350,12,1,-1.80E-16,72,3,1,72,6
350,12,2,0.0038993,96,4,1,96,6
350,12,3,0.00486042,69,3,1,69,6
350,12,4,0.0039592,93,4,1,93,6
350,12,5,0.00622797,91,4,1,91,6
350,24,1,0.000590844,44,2,1,44,12
350,24,2,0.00115307,45,2,1,45,12
350,24,3,0.00238417,50,2,1,50,12
350,24,4,0.00274528,50,2,1,50,12
350,24,5,0.00166732,72,3,1,72,12
350,36,1,0.00707069,74,3,1,74,18
350,36,2,0.00710134,98,4,1,98,18
350,36,3,0.00539866,96,4,1,96,18
350,36,4,0.00846462,95,4,1,95,18
350,36,5,0.00453138,72,3,1,72,18
350,48,1,0.00746158,104,3,1,104,24
350,48,2,0.00943882,139,5,1,139,24
350,48,3,0.00972938,147,4,1,147,24
350,48,4,0.00811606,98,3,1,98,24
350,48,5,0.00892349,138,4,1,138,24
350,60,1,0.0092049,91,3,1,91,30
350,60,2,0.0081243,173,5,1,173,30
350,60,3,0.00764048,82,3,1,82,30
350,60,4,0.00418642,397,5,1,397,30
350,60,5,0.00809238,287,4,1,287,30
350,72,1,0.00794523,56,2,1,56,36
350,72,2,0.008331,62,2,1,62,36
350,72,3,0.00695382,52,2,1,52,36
350,72,4,0.00926397,63,2,1,63,36
350,72,5,0.00589278,60,2,1,60,36
350,84,1,0.00567851,52,2,1,52,42
350,84,2,0.0079449,183,4,1,183,42
350,84,3,0.00732322,72,2,1,72,42
350,84,4,0.00760154,80,3,1,80,42
350,84,5,0.00994108,82,3,1,82,42
350,96,1,0.00867476,67,2,1,67,48
350,96,2,0.00776864,66,2,1,66,48
350,96,3,0.00970968,138,4,1,138,48
350,96,4,0.00489978,74,2,1,74,48
350,96,5,0.00478792,95,3,1,95,48
400,12,1,0,85,3,1,85,6
400,12,2,0.00352707,119,4,1,119,6
400,12,3,0.00867822,118,4,1,118,6
400,12,4,0.00499712,108,4,1,108,6
400,12,5,0.00133093,89,3,1,89,6
400,24,1,0.0030702,61,2,1,61,12
400,24,2,0.000704953,83,3,1,83,12
400,24,3,0.00179257,56,2,1,56,12
400,24,4,0.00146668,62,2,1,62,12
400,24,5,0.00465396,63,2,1,63,12
400,36,1,0.00520764,62,2,1,62,18
400,36,2,0.00719721,92,3,1,92,18
400,36,3,0.00953848,95,3,1,95,18
400,36,4,0.00442024,125,4,1,125,18
400,36,5,0.00988317,65,2,1,65,18
400,48,1,0.00901737,103,3,1,103,24
400,48,2,0.00909781,1078,7,1,1078,24
400,48,3,0.00660398,453,5,1,453,24
400,48,4,0.00717605,182,4,1,182,24
400,48,5,0.00998649,286,4,1,286,24
400,60,1,0.00891769,86,2,1,86,30
400,60,2,0.00969832,214,3,1,214,30
400,60,3,0.00633587,107,3,1,107,30
400,60,4,0.0072874,425,4,1,425,30
400,60,5,0.00998752,259,3,1,259,30
400,72,1,0.00931169,80,2,1,80,36
400,72,2,0.00976605,78,2,1,78,36
400,72,3,0.00902201,66,2,1,66,36
400,72,4,0.00981155,142,4,1,142,36
400,72,5,0.00833581,74,2,1,74,36
400,84,1,0.00775927,71,2,1,71,42
400,84,2,0.00818676,139,3,1,139,42
400,84,3,0.00909257,531,4,1,531,42
400,84,4,0.00670484,81,2,1,81,42
400,84,5,0.00998727,699,4,1,699,42
400,96,1,0.00436495,275,2,1,275,48
400,96,2,0.00417695,250,3,1,250,48
400,96,3,0.00671871,122,3,1,122,48
400,96,4,0.00367151,115,2,1,115,48
400,96,5,0.00682283,325,2,1,325,48
450,12,1,0.0051421,102,4,1,102,6
450,12,2,0.00803177,85,3,1,85,6
450,12,3,0.00396049,82,3,1,82,6
450,12,4,0.00811724,109,4,1,109,6
450,12,5,0.00233266,111,4,1,111,6
450,24,1,0.00415099,58,2,1,58,12
450,24,2,0.00401948,58,2,1,58,12
450,24,3,0.00108907,58,2,1,58,12
450,24,4,0.0071084,57,2,1,57,12
450,24,5,0.00133427,79,3,1,79,12
450,36,1,0.00996851,91,3,1,91,18
450,36,2,0.00782252,118,4,1,118,18
450,36,3,0.00414807,105,3,1,105,18
450,36,4,0.00934989,117,4,1,117,18
450,36,5,0.009795,146,4,1,146,18
450,48,1,0.00871129,118,3,1,118,24
450,48,2,0.00831739,353,4,1,353,24
450,48,3,0.00923427,230,4,1,230,24
450,48,4,0.00610928,295,5,1,295,24
450,48,5,0.00919461,852,6,1,852,24
450,60,1,0.00945063,358,4,1,358,30
450,60,2,0.00842168,237,5,1,237,30
450,60,3,0.00890213,278,4,1,278,30
450,60,4,0.00871407,891,4,1,891,30
450,60,5,0.00750806,349,4,1,349,30
450,72,1,0.00954551,261,3,1,261,36
450,72,2,0.00833861,488,2,1,488,36
450,72,3,0.00949151,83,2,1,83,36
450,72,4,0.00777742,351,3,1,351,36
450,72,5,0.00961083,72,2,1,72,36
450,84,1,0.00881673,199,2,1,199,42
450,84,2,0.00877142,327,3,1,327,42
450,84,3,0.00873348,934,4,1,934,42
450,84,4,0.00852313,315,2,1,315,42
450,84,5,0.00972419,201,2,1,201,42
450,96,1,0.00888948,205,3,1,205,48
450,96,2,0.00716891,416,2,1,416,48
450,96,3,0.00581688,372,2,1,372,48
450,96,4,0.00981371,873,3,1,873,48
450,96,5,0.00864677,174,4,1,174,48
500,12,1,0.00706513,157,4,1,157,6
500,12,2,0.00787327,121,3,1,121,6
500,12,3,0.0085004,191,5,1,191,6
500,12,4,0.00622929,201,5,1,201,6
500,12,5,0.0035682,157,4,1,157,6
500,24,1,0.00219652,87,2,1,87,12
500,24,2,0.00386173,86,2,1,86,12
500,24,3,0.00328534,76,2,1,76,12
500,24,4,0.00534805,88,2,1,88,12
500,24,5,0.00676487,124,3,1,124,12
